time	event	start	end	haplotype	left	right	adjacent_to_terminal
2026-03-19T16:45:21	GC-NCO	242172	243355	B	het	het	False
2026-03-19T16:45:21	GC-CO	293659	407923	A	het	B	True
2026-03-19T16:45:21	GC-NCO	407924	409845	B	A	A	True
2026-03-19T16:45:21	GC-NCO	409846	464584	A	B	B	True
2026-03-19T16:45:21	GC-NCO	464585	465416	B	A	A	True
2026-03-19T16:45:21	GC-NCO	465417	491084	A	B	B	True
2026-03-19T16:45:21	CO-terminal	491085	500000	B	A	tel	False
2026-03-19T16:45:21	CO-terminal	1	128709	A	tel	het	False
2026-03-19T16:45:21	GC-NCO	187992	190746	B	het	het	False
2026-03-19T16:45:21	GC-CO	200837	356881	A	het	B	True
2026-03-19T16:45:21	CO-terminal	356882	500000	B	A	tel	False
2026-03-19T16:45:21	CO-terminal	1	99259	B	tel	A	False
2026-03-19T16:45:21	GC-CO	99260	121287	A	B	het	True
2026-03-19T16:45:21	GC-CO	166479	167180	B	het	het	False
2026-03-19T16:45:21	GC-CO	190216	350912	B	het	A	True
2026-03-19T16:45:21	GC-NCO	350913	355529	A	B	B	True
2026-03-19T16:45:21	GC-NCO	355530	357279	B	A	A	True
2026-03-19T16:45:21	CO-terminal	357280	500000	A	B	tel	False
2026-03-19T16:45:22	CO-terminal	1	87604	A	tel	het	False
2026-03-19T16:45:22	GC-NCO	128376	131419	B	het	het	False
2026-03-19T16:45:22	GC-NCO	142445	147289	B	het	het	False
2026-03-19T16:45:22	GC-CO	291562	296418	B	het	het	False
2026-03-19T16:45:22	GC-NCO	342112	346920	B	het	het	False
2026-03-19T16:45:22	GC-NCO	362077	362923	A	het	het	False
2026-03-19T16:45:22	CO-terminal	453603	500000	A	het	tel	False
2026-03-19T16:45:22	GC-CO	211	442	A	het	het	False
2026-03-19T16:45:22	GC-CO	119590	121459	B	het	het	False
2026-03-19T16:45:22	GC-CO	209347	219979	A	het	B	True
2026-03-19T16:45:22	GC-NCO	219980	220357	B	A	A	True
2026-03-19T16:45:22	GC-NCO	220358	258304	A	B	B	True
2026-03-19T16:45:22	GC-NCO	258305	262310	B	A	A	True
2026-03-19T16:45:22	CO-terminal	262311	500000	A	B	tel	False
2026-03-19T16:45:22	GC-CO	106442	106743	B	het	het	False
2026-03-19T16:45:22	CO-terminal	187021	500000	B	het	tel	False
2026-03-19T16:45:22	GC-NCO	155223	156562	B	het	het	False
2026-03-19T16:45:22	GC-CO	183323	185247	B	het	het	False
2026-03-19T16:45:22	GC-NCO	223541	225244	A	het	het	False
2026-03-19T16:45:22	GC-CO	247055	403577	B	het	A	True
2026-03-19T16:45:22	CO-terminal	403578	500000	A	B	tel	False
2026-03-19T16:45:23	CO-terminal	1	58105	A	tel	het	False
2026-03-19T16:45:23	GC-CO	197820	198226	B	het	het	False
2026-03-19T16:45:23	GC-CO	269196	367568	B	het	A	True
2026-03-19T16:45:23	CO-terminal	367569	500000	A	B	tel	False
2026-03-19T16:45:23	CO-terminal	1	22513	A	tel	het	False
2026-03-19T16:45:23	GC-NCO	139061	142212	B	het	het	False
2026-03-19T16:45:23	CO-terminal	155602	500000	B	het	tel	False
2026-03-19T16:45:23	GC-NCO	179775	181666	B	het	het	False
2026-03-19T16:45:23	GC-NCO	230239	232191	B	het	het	False
2026-03-19T16:45:23	GC-NCO	247901	251173	B	het	het	False
2026-03-19T16:45:23	GC-NCO	289517	291016	B	het	het	False
2026-03-19T16:45:23	GC-NCO	307198	311197	B	het	het	False
2026-03-19T16:45:23	CO-terminal	380479	500000	A	het	tel	False
2026-03-19T16:45:23	GC-NCO	138033	141626	B	het	het	False
2026-03-19T16:45:23	GC-NCO	207946	210409	B	het	het	False
2026-03-19T16:45:23	GC-CO	217023	268975	A	het	B	True
2026-03-19T16:45:23	GC-NCO	268976	273035	B	A	A	True
2026-03-19T16:45:23	GC-NCO	273036	294073	A	B	B	True
2026-03-19T16:45:23	CO-terminal	294074	500000	B	A	tel	False
2026-03-19T16:45:24	GC-CO	21051	22285	A	het	het	False
2026-03-19T16:45:24	GC-CO	93481	94412	B	het	het	False
2026-03-19T16:45:24	GC-NCO	371884	391323	B	het	A	True
2026-03-19T16:45:24	CO-terminal	391324	500000	A	B	tel	False
2026-03-19T16:45:24	GC-CO	36770	40989	A	het	het	False
2026-03-19T16:45:24	GC-CO	100443	105288	B	het	het	False
2026-03-19T16:45:24	GC-NCO	119763	122745	B	het	het	False
2026-03-19T16:45:24	GC-NCO	219175	223568	B	het	het	False
2026-03-19T16:45:24	GC-NCO	349841	352238	B	het	het	False
2026-03-19T16:45:24	GC-NCO	424713	426319	B	het	het	False
2026-03-19T16:45:24	CO-terminal	1	17072	A	tel	B	False
2026-03-19T16:45:24	GC-NCO	17073	51769	B	A	het	True
2026-03-19T16:45:24	GC-NCO	69528	71126	B	het	het	False
2026-03-19T16:45:24	GC-CO	162647	198293	A	het	B	True
2026-03-19T16:45:24	GC-NCO	198294	200088	B	A	A	True
2026-03-19T16:45:24	CO-terminal	200089	500000	A	B	tel	False
2026-03-19T16:45:24	CO-terminal	1	34266	A	tel	het	False
2026-03-19T16:45:24	GC-NCO	83279	83399	B	het	het	False
2026-03-19T16:45:24	CO-terminal	151742	500000	B	het	tel	False
2026-03-19T16:45:25	CO-terminal	1	66634	A	tel	B	False
2026-03-19T16:45:25	GC-NCO	66635	98644	B	A	het	True
2026-03-19T16:45:25	GC-NCO	255860	258607	B	het	het	False
2026-03-19T16:45:25	CO-terminal	329458	500000	A	het	tel	False
2026-03-19T16:45:25	CO-terminal	1	135682	B	tel	het	False
2026-03-19T16:45:25	GC-NCO	179641	182957	B	het	het	False
2026-03-19T16:45:25	GC-CO	255135	258696	B	het	het	False
2026-03-19T16:45:25	CO-terminal	346058	500000	B	het	tel	False
2026-03-19T16:45:25	CO-terminal	1	36002	B	tel	het	False
2026-03-19T16:45:25	GC-CO	21627	25090	B	het	het	False
2026-03-19T16:45:25	GC-NCO	123018	123343	B	het	het	False
2026-03-19T16:45:25	CO-terminal	225102	500000	A	het	tel	False
2026-03-19T16:45:26	GC-NCO	35645	39899	B	het	het	False
2026-03-19T16:45:26	GC-NCO	98870	101840	B	het	het	False
2026-03-19T16:45:26	GC-NCO	198320	204179	B	het	het	False
2026-03-19T16:45:26	CO-terminal	231006	500000	A	het	tel	False
2026-03-19T16:45:26	CO-terminal	1	138871	A	tel	het	False
2026-03-19T16:45:26	GC-CO	233878	238289	B	het	het	False
2026-03-19T16:45:26	GC-NCO	486598	490362	B	het	het	False
2026-03-19T16:45:26	GC-CO	60740	61878	A	het	het	False
2026-03-19T16:45:26	GC-CO	86058	86795	B	het	het	False
2026-03-19T16:45:26	GC-NCO	181007	183916	B	het	het	False
2026-03-19T16:45:26	GC-CO	236152	241039	B	het	het	False
2026-03-19T16:45:26	GC-NCO	257796	262697	B	het	het	False
2026-03-19T16:45:26	GC-CO	287766	288799	A	het	het	False
2026-03-19T16:45:26	CO-terminal	348614	500000	B	het	tel	False
2026-03-19T16:45:26	CO-terminal	1	38137	B	tel	het	False
2026-03-19T16:45:26	GC-CO	44739	45540	B	het	het	False
2026-03-19T16:45:26	GC-NCO	69792	73985	B	het	het	False
2026-03-19T16:45:26	GC-NCO	216915	310484	B	het	A	True
2026-03-19T16:45:26	CO-terminal	310485	500000	A	B	tel	False
2026-03-19T16:45:27	CO-terminal	1	13680	B	tel	het	False
2026-03-19T16:45:27	GC-NCO	70830	73253	A	het	het	False
2026-03-19T16:45:27	GC-CO	94048	98216	B	het	het	False
2026-03-19T16:45:27	GC-NCO	157370	160008	B	het	het	False
2026-03-19T16:45:27	GC-CO	179432	180369	B	het	het	False
2026-03-19T16:45:27	GC-NCO	186116	189086	B	het	het	False
2026-03-19T16:45:27	CO-terminal	223580	500000	B	het	tel	False
2026-03-19T16:45:27	GC-CO	194403	196318	A	het	B	True
2026-03-19T16:45:27	GC-NCO	196319	197876	B	A	A	True
2026-03-19T16:45:27	GC-NCO	197877	335829	A	B	B	True
2026-03-19T16:45:27	GC-NCO	335830	337286	B	A	A	True
2026-03-19T16:45:27	GC-NCO	337287	406126	A	B	B	True
2026-03-19T16:45:27	GC-NCO	406127	449227	B	A	A	True
2026-03-19T16:45:27	CO-terminal	449228	500000	A	B	tel	False
2026-03-19T16:45:27	GC-NCO	22090	23188	A	het	het	False
2026-03-19T16:45:27	GC-CO	28318	30590	B	het	het	False
2026-03-19T16:45:27	GC-CO	98352	101017	B	het	het	False
2026-03-19T16:45:27	GC-CO	307353	317323	A	het	B	True
2026-03-19T16:45:27	GC-NCO	317324	463260	B	A	A	True
2026-03-19T16:45:27	CO-terminal	463261	500000	A	B	tel	False
2026-03-19T16:45:27	GC-NCO	138974	139251	B	het	het	False
2026-03-19T16:45:27	GC-CO	139555	143308	B	het	het	False
2026-03-19T16:45:27	GC-NCO	167560	168737	B	het	het	False
2026-03-19T16:45:27	GC-CO	174947	177451	B	het	het	False
2026-03-19T16:45:27	CO-terminal	192385	500000	B	het	tel	False
2026-03-19T16:45:28	CO-terminal	1	125386	B	tel	het	False
2026-03-19T16:45:28	CO-terminal	241401	500000	A	het	tel	False
2026-03-19T16:45:28	GC-CO	36859	39227	B	het	het	False
2026-03-19T16:45:28	CO-terminal	154815	500000	B	het	tel	False
2026-03-19T16:45:28	CO-terminal	1	14580	A	tel	B	False
2026-03-19T16:45:28	GC-NCO	14581	19148	B	A	A	True
2026-03-19T16:45:28	GC-CO	19149	148410	A	B	het	True
2026-03-19T16:45:28	GC-NCO	198601	202822	B	het	het	False
2026-03-19T16:45:28	GC-NCO	215853	215961	B	het	het	False
2026-03-19T16:45:28	CO-terminal	328248	500000	A	het	tel	False
2026-03-19T16:45:28	CO-terminal	1	110908	B	tel	het	False
2026-03-19T16:45:28	GC-CO	132329	135886	B	het	het	False
2026-03-19T16:45:28	GC-NCO	167340	308431	B	het	A	True
2026-03-19T16:45:28	CO-terminal	308432	500000	A	B	tel	False
2026-03-19T16:45:28	CO-terminal	1	150099	B	tel	het	False
2026-03-19T16:45:28	GC-CO	233033	312016	A	het	B	True
2026-03-19T16:45:28	GC-NCO	312017	315596	B	A	A	True
2026-03-19T16:45:28	CO-terminal	315597	500000	A	B	tel	False
2026-03-19T16:45:29	GC-NCO	72959	73601	B	het	het	False
2026-03-19T16:45:29	GC-NCO	128717	130939	B	het	het	False
2026-03-19T16:45:29	GC-NCO	209324	213197	B	het	het	False
2026-03-19T16:45:29	GC-CO	275868	367242	A	het	B	True
2026-03-19T16:45:29	GC-NCO	367243	452282	B	A	A	True
2026-03-19T16:45:29	CO-terminal	452283	500000	A	B	tel	False
2026-03-19T16:45:29	CO-terminal	1	125983	B	tel	het	False
2026-03-19T16:45:29	CO-terminal	446780	500000	A	het	tel	False
2026-03-19T16:45:29	CO-terminal	1	148051	A	tel	het	False
2026-03-19T16:45:29	GC-NCO	279737	282363	B	het	het	False
2026-03-19T16:45:29	GC-CO	288481	363929	A	het	B	True
2026-03-19T16:45:29	CO-terminal	363930	500000	B	A	tel	False
2026-03-19T16:45:29	GC-NCO	19366	21633	B	het	het	False
2026-03-19T16:45:29	GC-NCO	125489	129106	B	het	het	False
2026-03-19T16:45:29	GC-CO	198494	202532	B	het	het	False
2026-03-19T16:45:29	CO-terminal	204246	500000	B	het	tel	False
2026-03-19T16:45:30	CO-terminal	1	25109	A	tel	het	False
2026-03-19T16:45:30	GC-NCO	38935	44464	A	het	het	False
2026-03-19T16:45:30	GC-CO	88949	92042	B	het	het	False
2026-03-19T16:45:30	CO-terminal	175889	500000	B	het	tel	False
2026-03-19T16:45:30	CO-terminal	1	133512	B	tel	het	False
2026-03-19T16:45:30	CO-terminal	220715	500000	B	het	tel	False
2026-03-19T16:45:30	CO-terminal	1	122953	A	tel	het	False
2026-03-19T16:45:30	GC-NCO	176131	177109	B	het	het	False
2026-03-19T16:45:30	GC-NCO	264824	269604	B	het	het	False
2026-03-19T16:45:30	GC-CO	281864	336846	A	het	B	True
2026-03-19T16:45:30	GC-NCO	336847	340187	B	A	A	True
2026-03-19T16:45:30	GC-NCO	340188	350752	A	B	B	True
2026-03-19T16:45:30	GC-NCO	350753	353072	B	A	A	True
2026-03-19T16:45:30	GC-NCO	353073	420691	A	B	B	True
2026-03-19T16:45:30	CO-terminal	420692	500000	B	A	tel	False
2026-03-19T16:45:30	CO-terminal	1	133190	A	tel	het	False
2026-03-19T16:45:30	CO-terminal	193249	500000	B	het	tel	False
2026-03-19T16:45:31	CO-terminal	1	92665	A	tel	het	False
2026-03-19T16:45:31	GC-NCO	108775	109119	B	het	het	False
2026-03-19T16:45:31	GC-CO	176006	178906	B	het	het	False
2026-03-19T16:45:31	GC-CO	230823	231705	A	het	het	False
2026-03-19T16:45:31	GC-CO	249227	251623	B	het	het	False
2026-03-19T16:45:31	GC-CO	270846	273291	A	het	het	False
2026-03-19T16:45:31	GC-CO	334414	334767	B	het	het	False
2026-03-19T16:45:31	GC-NCO	345509	347094	A	het	het	False
2026-03-19T16:45:31	CO-terminal	445541	500000	A	het	tel	False
2026-03-19T16:45:31	CO-terminal	1	36168	B	tel	A	False
2026-03-19T16:45:31	GC-NCO	36169	65523	A	B	B	True
2026-03-19T16:45:31	GC-NCO	65524	68929	B	A	A	True
2026-03-19T16:45:31	GC-NCO	68930	75861	A	B	B	True
2026-03-19T16:45:31	GC-NCO	75862	80468	B	A	het	True
2026-03-19T16:45:31	GC-NCO	105352	108955	B	het	het	False
2026-03-19T16:45:31	GC-CO	211570	487988	A	het	B	True
2026-03-19T16:45:31	CO-terminal	487989	500000	B	A	tel	False
2026-03-19T16:45:31	CO-terminal	1	63026	A	tel	het	False
2026-03-19T16:45:31	GC-NCO	82096	85801	B	het	het	False
2026-03-19T16:45:31	GC-CO	106796	111203	B	het	het	False
2026-03-19T16:45:31	GC-NCO	348751	352728	B	het	het	False
2026-03-19T16:45:31	GC-NCO	355308	361139	B	het	het	False
2026-03-19T16:45:31	GC-NCO	420894	421598	B	het	het	False
2026-03-19T16:45:31	CO-terminal	482496	500000	B	het	tel	False
2026-03-19T16:45:31	GC-NCO	76059	77079	B	het	het	False
2026-03-19T16:45:31	GC-NCO	88638	91697	B	het	het	False
2026-03-19T16:45:31	CO-terminal	166191	500000	B	het	tel	False
2026-03-19T16:45:31	GC-NCO	102315	104865	B	het	het	False
2026-03-19T16:45:31	CO-terminal	151715	500000	A	het	tel	False
2026-03-19T16:45:32	CO-terminal	1	39116	A	tel	B	False
2026-03-19T16:45:32	GC-NCO	39117	40597	B	A	A	True
2026-03-19T16:45:32	GC-NCO	40598	52850	A	B	B	True
2026-03-19T16:45:32	GC-NCO	52851	115382	B	A	het	True
2026-03-19T16:45:32	GC-NCO	253501	257246	B	het	het	False
2026-03-19T16:45:32	CO-terminal	263998	500000	B	het	tel	False
2026-03-19T16:45:32	GC-NCO	48662	48778	B	het	het	False
2026-03-19T16:45:32	GC-NCO	140470	142477	B	het	het	False
2026-03-19T16:45:32	GC-CO	158824	159019	B	het	het	False
2026-03-19T16:45:32	GC-NCO	187063	191322	A	het	het	False
2026-03-19T16:45:32	GC-NCO	198945	201925	B	het	het	False
2026-03-19T16:45:32	GC-NCO	220458	244842	A	het	B	True
2026-03-19T16:45:32	CO-terminal	244843	500000	B	A	tel	False
2026-03-19T16:45:32	GC-NCO	27934	29822	B	het	het	False
2026-03-19T16:45:32	GC-NCO	94403	95986	B	het	het	False
2026-03-19T16:45:32	GC-NCO	269656	272845	B	het	het	False
2026-03-19T16:45:32	GC-NCO	474330	475744	B	het	het	False
2026-03-19T16:45:32	GC-NCO	491633	492487	B	het	het	False
2026-03-19T16:45:32	GC-CO	126808	127280	B	het	het	False
2026-03-19T16:45:32	GC-NCO	161935	165318	B	het	het	False
2026-03-19T16:45:32	CO-terminal	194615	500000	B	het	tel	False
2026-03-19T16:45:33	CO-terminal	1	105193	B	tel	het	False
2026-03-19T16:45:33	GC-NCO	312241	314122	B	het	het	False
2026-03-19T16:45:33	GC-CO	319646	483009	A	het	B	True
2026-03-19T16:45:33	GC-NCO	483010	487239	B	A	A	True
2026-03-19T16:45:33	CO-terminal	487240	500000	A	B	tel	False
2026-03-19T16:45:33	CO-terminal	1	19602	B	tel	A	False
2026-03-19T16:45:33	GC-NCO	19603	59444	A	B	het	True
2026-03-19T16:45:33	GC-CO	64740	66490	B	het	het	False
2026-03-19T16:45:33	GC-NCO	170943	173068	B	het	het	False
2026-03-19T16:45:33	GC-NCO	278694	283072	B	het	het	False
2026-03-19T16:45:33	GC-NCO	330658	334300	B	het	het	False
2026-03-19T16:45:33	GC-CO	370028	389986	A	het	B	True
2026-03-19T16:45:33	CO-terminal	389987	500000	B	A	tel	False
2026-03-19T16:45:33	CO-terminal	1	17391	B	tel	het	False
2026-03-19T16:45:33	GC-NCO	107247	112126	B	het	het	False
2026-03-19T16:45:33	GC-CO	159224	163898	B	het	het	False
2026-03-19T16:45:33	GC-NCO	167357	168369	A	het	het	False
2026-03-19T16:45:33	GC-CO	204278	206847	B	het	het	False
2026-03-19T16:45:33	GC-NCO	308355	309683	B	het	het	False
2026-03-19T16:45:33	GC-CO	324954	329668	A	het	het	False
2026-03-19T16:45:33	CO-terminal	334319	500000	A	het	tel	False
2026-03-19T16:45:33	CO-terminal	1	142189	B	tel	het	False
2026-03-19T16:45:33	GC-NCO	155805	166225	B	het	A	True
2026-03-19T16:45:33	GC-NCO	166226	199647	A	B	B	True
2026-03-19T16:45:33	GC-NCO	199648	376716	B	A	A	True
2026-03-19T16:45:33	GC-NCO	376717	382188	A	B	B	True
2026-03-19T16:45:33	GC-NCO	382189	475759	B	A	A	True
2026-03-19T16:45:33	GC-NCO	475760	479293	A	B	B	True
2026-03-19T16:45:33	CO-terminal	479294	500000	B	A	tel	False
2026-03-19T16:45:34	CO-terminal	1	33745	B	tel	A	False
2026-03-19T16:45:34	GC-NCO	33746	75507	A	B	B	True
2026-03-19T16:45:34	GC-NCO	75508	110918	B	A	het	True
2026-03-19T16:45:34	GC-CO	157709	161507	B	het	het	False
2026-03-19T16:45:34	GC-NCO	87516	92352	B	het	het	False
2026-03-19T16:45:34	GC-NCO	114801	118649	B	het	het	False
2026-03-19T16:45:34	GC-CO	209509	212545	B	het	het	False
2026-03-19T16:45:34	GC-NCO	264752	284738	A	het	B	True
2026-03-19T16:45:34	GC-NCO	284739	285382	B	A	A	True
2026-03-19T16:45:34	GC-NCO	285383	369574	A	B	B	True
2026-03-19T16:45:34	GC-NCO	369575	371427	B	A	A	True
2026-03-19T16:45:34	CO-terminal	371428	500000	A	B	tel	False
2026-03-19T16:45:34	GC-CO	144425	147987	B	het	het	False
2026-03-19T16:45:34	GC-CO	183881	188365	B	het	het	False
2026-03-19T16:45:34	CO-terminal	219560	500000	A	het	tel	False
2026-03-19T16:45:34	GC-CO	82006	84517	B	het	het	False
2026-03-19T16:45:34	GC-NCO	89644	91306	B	het	het	False
2026-03-19T16:45:34	GC-NCO	217001	273530	B	het	A	True
2026-03-19T16:45:34	CO-terminal	273531	500000	A	B	tel	False
2026-03-19T16:45:34	CO-terminal	1	4305	B	tel	het	False
2026-03-19T16:45:34	GC-NCO	29046	30120	B	het	het	False
2026-03-19T16:45:34	GC-NCO	176117	179360	B	het	het	False
2026-03-19T16:45:34	GC-NCO	305856	308879	B	het	het	False
2026-03-19T16:45:34	GC-NCO	420426	422894	B	het	het	False
2026-03-19T16:45:34	GC-CO	428187	429480	B	het	het	False
2026-03-19T16:45:35	GC-NCO	63730	65362	A	het	het	False
2026-03-19T16:45:35	GC-CO	82648	83537	B	het	het	False
2026-03-19T16:45:35	GC-CO	255459	257031	B	het	het	False
2026-03-19T16:45:35	CO-terminal	297504	500000	B	het	tel	False
2026-03-19T16:45:35	GC-NCO	6128	7965	B	het	het	False
2026-03-19T16:45:35	GC-CO	315362	319905	B	het	het	False
2026-03-19T16:45:35	GC-NCO	361371	429896	A	het	B	True
2026-03-19T16:45:35	GC-NCO	429897	464450	B	A	A	True
2026-03-19T16:45:35	CO-terminal	464451	500000	A	B	tel	False
2026-03-19T16:45:35	CO-terminal	1	105010	B	tel	A	False
2026-03-19T16:45:35	GC-CO	105011	144021	A	B	het	True
2026-03-19T16:45:35	GC-NCO	146739	150099	B	het	het	False
2026-03-19T16:45:35	GC-CO	182771	190610	A	het	B	True
2026-03-19T16:45:35	GC-NCO	190611	191896	B	A	A	True
2026-03-19T16:45:35	GC-NCO	191897	305080	A	B	B	True
2026-03-19T16:45:35	CO-terminal	305081	500000	B	A	tel	False
2026-03-19T16:45:35	CO-terminal	1	98312	A	tel	het	False
2026-03-19T16:45:35	GC-CO	101967	106035	B	het	het	False
2026-03-19T16:45:35	GC-NCO	140093	140904	B	het	het	False
2026-03-19T16:45:35	GC-NCO	155030	342016	B	het	A	True
2026-03-19T16:45:35	CO-terminal	342017	500000	A	B	tel	False
2026-03-19T16:45:36	GC-CO	134115	137853	B	het	het	False
2026-03-19T16:45:36	GC-NCO	211487	213689	B	het	het	False
2026-03-19T16:45:36	GC-CO	232082	232738	B	het	het	False
2026-03-19T16:45:36	GC-CO	268447	272308	A	het	het	False
2026-03-19T16:45:36	GC-NCO	322404	325718	B	het	het	False
2026-03-19T16:45:36	GC-NCO	358110	358481	A	het	het	False
2026-03-19T16:45:36	CO-terminal	1	109746	B	tel	het	False
2026-03-19T16:45:36	CO-terminal	159786	500000	B	het	tel	False
